child_account_identifier_vod__c,product_external_id_vod__c,recordtype_name,Action,call2_vod_id,call_date_vod__c
ENTID_92967272,JP_708127-420004,F2F,Attended,a04UL00000Ra3CkYAJ,2025-10-20
ENTID_12546779,JP_708127-420004,F2F,Attended,a04UL00000RaCEVYA3,2025-10-17
ENTID_12658657,JP_708127-420004,F2F,Attended,a04UL00000Raj77YAB,2025-10-22
ENTID_12800161,JP_708127-420004,F2F,Attended,a04UL00000RaTgiYAF,2025-10-22
ENTID_12678917,JP_708127-420004,F2F,Attended,a04UL00000Rgk2BYAR,2025-10-22
ENTID_12612517,JP_708127-420004,F2F,Attended,a04UL00000Ri2OLYAZ,2025-10-21
ENTID_12591111,JP_708127-420004,F2F,Attended,a04UL00000RKEiTYAX,2025-10-30
ENTID_105461406,JP_708127-420004,F2F,Attended,a04UL00000RKzHaYAL,2025-10-24
ENTID_12549142,JP_708127-420004,F2F,Attended,a04UL00000RLJjIYAX,2025-10-16
ENTID_12547299,JP_708127-420004,F2F,Attended,a04UL00000Rmfd8YAB,2025-10-31
ENTID_12678464,JP_708127-420004,F2F,Attended,a04UL00000RnoKLYAZ,2025-10-22
ENTID_12796647,JP_708127-420004,Group_Detail_F2F,Attended,a04UL00000RpHH5YAN,2025-10-23
ENTID_12449605,JP_708127-420004,F2F,Attended,a04UL00000RqNHAYA3,2025-10-24
ENTID_105463351,JP_708127-420004,Group_Detail_F2F,Attended,a04UL00000RS5DQYA1,2025-10-21
ENTID_114122475,JP_708127-420004,F2F,Attended,a04UL00000RYb0nYAD,2025-10-21
ENTID_76752832,JP_708127-420004,F2F,Attended,a04UL00000Ryd5SYAR,2025-10-27
ENTID_12748518,JP_708127-420004,F2F,Attended,a04UL00000RyyQ5YAJ,2025-10-24
ENTID_12653280,JP_708127-420004,F2F,Attended,a04UL00000RzS4mYAF,2025-10-27
ENTID_12688658,JP_708127-420004,F2F,Attended,a04UL00000S65zNYAR,2025-10-30
ENTID_12680213,JP_708127-420004,F2F,Attended,a04UL00000S6gXbYAJ,2025-10-28
ENTID_105459827,JP_708127-420004,F2F,Attended,a04UL00000S6kckYAB,2025-10-27
ENTID_12487626,JP_708127-420004,F2F,Attended,a04UL00000S77eAYAR,2025-10-27
ENTID_12624839,JP_708127-420004,F2F,Attended,a04UL00000S7LvgYAF,2025-10-28
ENTID_12634754,JP_708127-420004,F2F,Attended,a04UL00000S7REiYAN,2025-10-27
ENTID_12747055,JP_708127-420004,F2F,Attended,a04UL00000SDjKAYA1,2025-10-28
ENTID_12697208,JP_708127-420004,F2F,Attended,a04UL00000SDRVMYA5,2025-10-14
ENTID_12724136,JP_708127-420004,F2F,Attended,a04UL00000SEAp0YAH,2025-10-23
ENTID_12561359,JP_708127-420004,F2F,Attended,a04UL00000SEt6CYAT,2025-10-29
ENTID_12780036,JP_708127-420004,F2F,Attended,a04UL00000Skg2eYAB,2025-10-30
ENTID_12494932,JP_708127-420004,F2F,Attended,a04UL00000SkMlNYAV,2025-11-05
ENTID_95525145,JP_708127-420004,Group_Detail_F2F,Attended,a04UL00000SKTTxYAP,2025-10-29
ENTID_44956530,JP_708127-420004,Group_Detail_F2F,Attended,a04UL00000SlEifYAF,2025-11-04
ENTID_12566129,JP_708127-420004,Group_Detail_F2F,Attended,a04UL00000SLiSaYAL,2025-10-30
ENTID_12543150,JP_708127-420004,F2F,Attended,a04UL00000SljZRYAZ,2025-11-04
ENTID_12580319,JP_708127-420004,F2F,Attended,a04UL00000SLRebYAH,2025-10-21
ENTID_12625700,JP_708127-420004,Phone,Attended,a04UL00000SLxoDYAT,2025-10-30
ENTID_113767056,JP_708127-420004,F2F,Attended,a04UL00000SLyynYAD,2025-11-10
ENTID_12557830,JP_708127-420004,F2F,Attended,a04UL00000SM6tCYAT,2025-10-30
ENTID_12659875,JP_708127-420004,F2F,Attended,a04UL00000SMKBKYA5,2025-10-27
ENTID_12735085,JP_708127-420004,F2F,Attended,a04UL00000SMXtKYAX,2025-10-30
ENTID_12727796,JP_708127-420004,F2F,Attended,a04UL00000SqgXjYAJ,2025-11-04
ENTID_12686788,JP_708127-420004,F2F,Attended,a04UL00000Sr5mNYAR,2025-11-05
ENTID_12736686,JP_708127-420004,Group_Detail_F2F,Attended,a04UL00000Sr9A4YAJ,2025-11-04
ENTID_12587084,JP_708127-420004,F2F,Attended,a04UL00000SrL4jYAF,2025-11-04
ENTID_12629661,JP_708127-420004,Group_Detail_F2F,Attended,a04UL00000SU1wFYAT,2025-10-06
ENTID_12621556,JP_708127-420004,F2F,Attended,a04UL00000SUHjQYAX,2025-10-31
ENTID_12554682,JP_708127-420004,F2F,Attended,a04UL00000SUI9FYAX,2025-10-30
ENTID_12791156,JP_708127-420004,F2F,Attended,a04UL00000SukPuYAJ,2025-11-05
ENTID_12658656,JP_708127-420004,F2F,Attended,a04UL00000SUORSYA5,2025-11-04
ENTID_96192348,JP_708127-420004,Group_Detail_F2F,Attended,a04UL00000SV8aiYAD,2025-10-22
ENTID_12588220,JP_708127-420004,F2F,Attended,a04UL00000SV9jmYAD,2025-10-31
ENTID_12778297,JP_708127-420004,F2F,Attended,a04UL00000SVLrHYAX,2025-10-31
ENTID_12634754,JP_708127-420004,F2F,Attended,a04UL00000SVRF9YAP,2025-10-31
ENTID_12479356,JP_708127-420004,F2F,Attended,a04UL00000SvWmJYAV,2025-11-04
ENTID_12555337,JP_708127-420004,F2F,Attended,a04UL00000SwtIXYAZ,2025-11-06
ENTID_12615835,JP_708127-420004,F2F,Attended,a04UL00000T2ym6YAB,2025-11-13
ENTID_12653892,JP_708127-420004,F2F,Attended,a04UL00000T3mfKYAR,2025-11-06
ENTID_12534276,JP_708127-420004,F2F,Attended,a04UL00000T3qj0YAB,2025-11-05
ENTID_105462287,JP_708127-420004,Group_Detail_F2F,Attended,a04UL00000T42YuYAJ,2025-11-07
ENTID_12588807,JP_708127-420004,F2F,Attended,a04UL00000TaqiXYAR,2025-11-06
