conference_id,customer_id,product_id,indication_id,channel,action,ACTVY_STRT_DT
VEM-JP-13126,ENTID_12545439,708127,420004,National(Web),Attended,2025-06-25
VEM-JP-11878,ENTID_12690163,708127,420004,National(Web),Attended,2025-05-09
VEM-JP-11078,ENTID_12724343,708127,420004,National(Web),Attended,2025-05-23
VEM-JP-12413,ENTID_12790018,708127,420004,National(Web),Attended,2025-10-02
VEM-JP-7009,ENTID_12666201,708127,420004,National(Web),Attended,2025-01-22
VEM-JP-10214,ENTID_12720686,708127,420004,National(Web),Attended,2025-03-06
VEM-JP-7887,ENTID_12744256,708127,420004,National(Web),Attended,2025-01-17
VEM-JP-7746,ENTID_12786832,708127,420004,National(P2P),Attended,2025-08-24
VEM-JP-11053,ENTID_12675652,708127,420004,National(Web),Attended,2025-04-04
VEM-JP-15085,ENTID_12656825,708127,420004,National(Web),Attended,2025-09-12
VEM-JP-10353,ENTID_12626362,708127,420004,National(Web),Attended,2025-03-25
VEM-JP-7746,ENTID_12661723,708127,420004,National(P2P),Attended,2025-08-24
VEM-JP-11125,ENTID_43663116,708127,420004,National(Web),Attended,2025-03-11
VEM-JP-2727,ENTID_12555390,708127,420004,National(P2P),Attended,2025-04-20
VEM-JP-12409,ENTID_12800196,708127,420004,National(Web),Attended,2025-07-24
VEM-JP-7324,ENTID_12702671,708127,420004,National(Web),Attended,2024-12-09
VEM-JP-15083,ENTID_12786310,708127,420004,National(Web),Attended,2025-08-26
VEM-JP-13126,ENTID_12548756,708127,420004,National(Web),Attended,2025-06-25
VEM-JP-11052,ENTID_12488854,708127,420004,National(Web),Attended,2025-04-04
VEM-JP-15085,ENTID_12633216,708127,420004,National(Web),Attended,2025-09-12
VEM-JP-11379,ENTID_12561437,708127,420004,National(Web),Attended,2025-06-12
VEM-JP-15593,ENTID_12614225,708127,420004,National(Web),Attended,2025-10-06
VEM-JP-12413,ENTID_12641084,708127,420004,National(Web),Attended,2025-10-02
VEM-JP-8210,ENTID_43662435,708127,420004,National(P2P),Attended,2025-06-29
VEM-JP-15083,ENTID_12691541,708127,420004,National(Web),Attended,2025-08-26
VEM-JP-8317,ENTID_12653564,708127,420004,National(Web),Attended,2025-02-03
VEM-JP-13126,ENTID_19758173,708127,420004,National(Web),Attended,2025-06-25
VEM-JP-10353,ENTID_12748496,708127,420004,National(Web),Attended,2025-03-25
