COUNTRY,DEPARTMENT,SALESFORCE_CODE,HCP_ID,REP_ID,PRODUCT,INDICATION,TERRITORY_ID,LOAD_DT,EPH_REFERENCE_ID,EPH_ENTERPRISE_ID,ENHANCED_ENTERPRISE_ID
JP,RETAIL,JPCL,ENTID_13680296,00580000004M39bAAC,JP_708127-420004,,JP69956,2025-11-03,ENTID_13680296,ENTID_131717034,
JP,RETAIL,JPHY,ENTID_12669283,00580000004M39fAAC,JP_708127-420004,,JP66042,2025-11-03,ENTID_12669283,ENTID_130395723,ENTID_130395723
JP,RETAIL,JPHY,ENTID_13763310,00580000004McPeAAK,JP_708127-420004,,JP65849,2025-11-03,ENTID_13763310,ENTID_131815147,
JP,RETAIL,JPCL,ENTID_12531166,00580000004M3JXAA0,JP_708127-420004,,JP69957,2025-11-03,ENTID_12531166,ENTID_130257692,ENTID_130257692
JP,RETAIL,JPHY,ENTID_12478026,00580000004MHG0AAO,JP_708127-420004,,JP65968,2025-11-03,ENTID_12478026,ENTID_130204285,ENTID_130204285
JP,RETAIL,JPHY,ENTID_12693996,00580000004M3VyAAK,JP_708127-420004,,JP65942,2025-11-03,ENTID_12693996,ENTID_130420208,ENTID_130420208
JP,RETAIL,JPHY,ENTID_12556300,0053x00000FEuD4AAL,JP_708127-420004,,JP65953,2025-11-03,ENTID_12556300,ENTID_130282291,ENTID_130282291
JP,RETAIL,JPHY,ENTID_12537722,00580000004M3APAA0,JP_708127-420004,,JP65948,2025-11-03,ENTID_12537722,ENTID_130264741,ENTID_130264741
JP,RETAIL,JPHY,ENTID_12802099,0053x00000FR2SLAA1,JP_708127-420004,,JP66037,2025-11-03,ENTID_12802099,ENTID_130527978,ENTID_130527978
JP,RETAIL,JPHY,ENTID_12743869,00580000004M35XAAS,JP_708127-420004,,JP66048,2025-11-03,ENTID_12743869,ENTID_130470315,ENTID_130470315
JP,RETAIL,JPHY,ENTID_12598610,00580000004M3V4AAK,JP_708127-420004,,JP65766,2025-11-03,ENTID_12598610,ENTID_130324958,ENTID_130324958
JP,RETAIL,JPHY,ENTID_12775824,0053x00000FR2SAAA1,JP_708127-420004,,JP66072,2025-11-03,ENTID_12775824,ENTID_130502750,ENTID_130502750
JP,RETAIL,JPCL,ENTID_13704465,00580000004M3JXAA0,JP_708127-420004,,JP69957,2025-11-03,ENTID_13704465,ENTID_131752212,
JP,RETAIL,JPHY,ENTID_96007565,00580000004M3VJAA0,JP_708127-420004,,JP66076,2025-11-03,ENTID_96007565,ENTID_130571806,ENTID_130571806
JP,RETAIL,JPHY,ENTID_95524910,00580000006a3JsAAI,JP_708127-420004,,JP65869,2025-11-03,ENTID_95524910,ENTID_130568264,ENTID_130568264
JP,RETAIL,JPHY,ENTID_13643694,00580000004M3CxAAK,JP_708127-420004,,JP65788,2025-11-03,ENTID_13643694,ENTID_131671045,
JP,RETAIL,JPHY,ENTID_12709349,005VS0000017OpDYAU,JP_708127-420004,,JP65969,2025-11-03,ENTID_12709349,ENTID_130435859,ENTID_130435859
JP,RETAIL,JPHY,ENTID_13916540,005VS000002bpPLYAY,JP_708127-420004,,JP65846,2025-11-03,ENTID_13916540,ENTID_132022033,
JP,RETAIL,JPHY,ENTID_12765856,00580000004M3F2AAK,JP_708127-420004,,JP65866,2025-11-03,ENTID_12765856,ENTID_130492540,ENTID_130492540
JP,RETAIL,JPHY,ENTID_13489714,00580000004M38jAAC,JP_708127-420004,,JP65757,2025-11-03,ENTID_13489714,ENTID_131471704,
JP,RETAIL,JPHY,ENTID_12752621,00580000004M37tAAC,JP_708127-420004,,JP65959,2025-11-03,ENTID_12752621,ENTID_130478705,ENTID_130478705
JP,RETAIL,JPCL,ENTID_12756542,00580000004M39bAAC,JP_708127-420004,,JP69956,2025-11-03,ENTID_12756542,ENTID_130482924,ENTID_130482924
JP,RETAIL,JPCL,ENTID_45744646,00580000004M3JXAA0,JP_708127-420004,,JP69957,2025-11-03,ENTID_45744646,ENTID_130555505,ENTID_130555505
JP,RETAIL,JPHY,ENTID_12783007,00580000004M3UPAA0,JP_708127-420004,,JP65787,2025-11-03,ENTID_12783007,ENTID_130510209,ENTID_130510209
